,IDLattes,DuracaoDoutorado,Genero,ExclusividadeDoutorado,Publicacoes,IdadeAcademica,HistoricoFiliacoesEmIESInternacional,UltimaFiliacaoEmIES,PrimeiraAreaNumeric
1512,1042683581004655,4.0,1,1,37.0,5.0,0,1,2
1513,1042725405939696,3.0,1,0,4.0,12.0,0,1,4
1514,1042731136867986,3.0,1,0,1.0,3.0,1,0,0
1515,1042802390444616,4.0,1,0,13.0,15.0,0,0,1
1516,1042806990155996,3.0,0,1,30.0,19.0,1,0,3
1517,1042871202530106,4.0,0,0,8.0,7.0,0,0,5
1518,1042890320159983,5.0,1,0,1.0,5.0,1,0,4
1519,1042906766573631,4.0,0,1,45.0,15.0,1,0,5
1520,1042965796494392,1.0,0,0,1.0,1.0,0,0,6
1521,1042971657063966,4.0,0,1,1.0,1.0,0,1,5
1522,1042988419446394,4.0,0,1,7.0,7.0,0,0,2
1523,1042989576765748,2.0,1,1,18.0,4.0,1,0,4
1524,1042990074656681,4.0,0,1,9.0,9.0,1,1,1
1525,1043014066439621,4.0,1,1,29.0,12.0,1,0,6
1526,1043051210942538,5.0,0,1,3.0,2.0,1,1,5
1527,1043055457896470,4.0,1,1,9.0,4.0,0,1,6
1528,1043055558013080,4.0,1,0,7.0,5.0,0,0,6
1529,1043145297569952,4.0,0,1,2.0,6.0,1,1,1
1530,1043173427712145,4.0,1,1,1.0,4.0,1,1,0
1531,1043228491783390,4.0,0,1,2.0,5.0,1,1,0
1532,1043229447949723,3.0,0,1,3.0,3.0,0,0,6
1533,1043249866467134,4.0,1,0,4.0,4.0,0,1,3
1534,1043291961120759,3.0,1,0,6.0,1.0,0,0,4
1535,1043340402182358,3.0,1,0,13.0,5.0,1,0,5
1536,1043344705962327,3.0,1,1,11.0,5.0,0,0,2
1537,1043358165401562,5.0,0,1,13.0,12.0,0,0,2
1538,1043412912461176,4.0,1,1,2.0,2.0,1,1,7
1539,1043449713595250,4.0,0,0,1.0,4.0,1,0,1
1540,1043461123998452,4.0,0,0,17.0,10.0,0,1,4
1541,1043482800761732,4.0,1,1,5.0,16.0,1,1,6
1542,1043491275073936,8.0,0,0,40.0,26.0,0,1,2
1543,1043500472276146,5.0,1,0,25.0,24.0,1,1,6
1544,1043505223893641,6.0,1,1,3.0,11.0,1,1,6
1545,1043534119083767,4.0,1,0,12.0,6.0,1,1,6
1546,1043562477678714,3.0,1,1,7.0,6.0,0,0,2
1547,1043592167112136,3.0,1,1,137.0,16.0,1,1,2
1548,1043606043814998,5.0,0,1,79.0,26.0,1,0,1
1549,1043620602950156,4.0,0,1,7.0,2.0,0,1,1
1550,1043628151867451,3.0,1,0,11.0,14.0,1,1,5
1551,1043668141751568,4.0,1,0,31.0,16.0,1,0,4
1552,1043694966647366,5.0,1,1,2.0,6.0,0,0,3
1553,1043707938149901,4.0,0,1,22.0,18.0,1,0,6
1554,1043712269063192,3.0,0,1,53.0,20.0,1,1,3
1555,1043733356669288,1.0,1,0,1.0,1.0,1,0,8
1556,1043754365586854,5.0,0,1,4.0,4.0,1,0,3
1557,1043780332502091,5.0,0,0,315.0,54.0,1,1,1
1558,1043802987313782,3.0,0,1,22.0,28.0,1,1,3
1559,1043808179964954,5.0,0,1,2.0,5.0,0,0,2
1560,1043833431220080,5.0,1,0,18.0,14.0,1,1,3
1561,1043836205907613,4.0,1,1,59.0,24.0,1,0,4
1562,1043839432317392,3.0,0,1,8.0,6.0,0,0,4
1563,1043858396254338,3.0,0,1,25.0,10.0,1,1,3
1564,1043882770050599,5.0,0,0,7.0,17.0,1,0,4
1565,1043883576622362,4.0,0,0,12.0,3.0,0,0,5
1566,1043898512298815,3.0,0,0,33.0,46.0,0,0,6
1567,1043918400843047,4.0,0,0,24.0,7.0,1,0,4
1568,1043938615542764,8.0,1,0,33.0,40.0,0,1,6
1569,1043944885197511,4.0,0,1,11.0,8.0,1,0,5
1570,1044002003893499,3.0,0,1,66.0,41.0,1,0,5
1571,1044087370606163,4.0,0,0,5.0,3.0,1,0,0
1572,1044129246528787,4.0,1,0,13.0,2.0,1,0,2
1573,1044136858897392,4.0,0,0,55.0,7.0,0,0,4
1574,1044140983630359,3.0,1,0,25.0,7.0,1,1,4
1575,1044197663085671,5.0,0,0,32.0,34.0,1,0,6
1576,1044201425792544,5.0,1,1,1.0,5.0,0,0,6
1577,1044206348854089,2.0,0,1,60.0,6.0,1,1,4
1578,1044215458544360,4.0,1,1,1.0,4.0,1,1,2
1579,1044259910797604,4.0,1,1,3.0,3.0,0,0,4
1580,1044311685528293,3.0,0,0,8.0,11.0,0,0,4
1581,1044329478656535,2.5,0,0,1.0,2.5,0,0,8
1582,1044335515812925,4.0,1,1,5.0,16.0,0,0,4
1583,1044361149989467,4.0,1,1,9.0,7.0,0,1,4
1584,1044386913071032,3.0,0,1,7.0,3.0,0,0,4
1585,1044438093732552,3.0,0,0,1.0,3.0,0,1,6
1586,1044470678068229,4.0,0,1,2.0,3.0,0,1,1
1587,1044482247008406,5.0,0,0,8.0,3.0,1,1,1
1588,1044510588705682,4.0,1,0,3.0,3.0,0,0,5
1589,1044561275344745,4.0,0,0,31.0,31.0,0,0,0
1590,1044585519530220,2.0,0,1,21.0,12.0,0,1,2
1591,1044603525620701,2.0,0,1,143.0,21.0,1,1,0
1592,1044624093042313,3.0,0,0,16.0,8.0,0,1,6
1593,1044701283896069,3.0,1,0,8.0,3.0,0,1,5
1594,1044707419286865,3.0,0,0,1.0,3.0,0,1,1
1595,1044720653038120,2.0,0,0,3.0,7.0,0,0,5
1596,1044763471517767,4.0,1,0,7.0,13.0,0,1,4
1597,1044764133821789,5.0,0,0,1.0,5.0,0,0,0
1598,1044790135845362,4.0,0,0,7.0,12.0,0,0,6
1599,1044798215776896,4.0,0,1,29.0,10.0,1,1,2
1600,1044809169834584,5.0,0,1,6.0,11.0,1,1,6
